namahotel,deskripsi
@HOM Platinum Gowongan,hom platinum gowongan hotel located tugu jogja yogyakarta popular choice traveler set 1 km excitement city 3 star hotel command excellent location provides access city biggest attraction rest relaxation hotel offer total renewal step away city numerous attraction tugu railway station kartika trekking tugu yogyakarta room hom platinum gowongan fitted flat screen cable tv en suite bathroom free toiletry shower facility malabar restaurant serf chinese international dish hotel guest arrange airport transfer car rental hotel staff laundry ironing service available additional charge
Abadi Hotel Malioboro Yogyakarta,luxurious hotel malioboro area abdi jogja boast red design feature exclusive building large parking area guest business immediately feel peaceful comfortable atmosphere arrive hotel lobby guest room interior guest room dominated natural wood classic brown cream wall green plant artistic wall painting stunning view jogja city ensure memorable stay air conditioned hotel feature array facility tv lounge cafe restaurant internet access room service laundry service offered abdi jogja boast three room category suite room deluxe room superior room offer en suite bathroom shower bath hairdryer direct dial telephone tv internet access safe minibar provided room furnished tea coffee making facility well air conditioning furthermore guest choose suite room indulged stunning view mount merapi breakfast buffet served daily satisfy hotel guest savor kind food beverage abadi jogja provides merapi coffee shop feature free hot spot internet access guest refreshing dip outdoor swimming pool sunbath poolside pamper various body treatment offered kusuma spa message
Abrisam Shareeah Family Homestay,property located near palace yogyakarta villa feature garden free self parking free wifi public area villa feature kitchenette refrigerator stovetop plus 2 bathroom flat screen tv satellite channel guest appreciate convenience like living room dining area amenity include patio rice cooker housekeeping available request view terrace garden use amenity complimentary wireless internet access free self parking available onsite front desk property arrangement check contact property least 24 hour arrival using information booking confirmation comfortable air conditioned villa featuring kitchenette refrigerator stovetop private patio flat screen television provided entertainment convenience include separate sitting area rice cooker housekeeping provided request nearby attraction batik plentong 0 4 km 0 2 mi lana gallery 0 5 km 0 3 mi masjid jogokariyan 0 8 km 0 5 mi alun alun kidul 2 2 km 1 4 mi water castle tamansari 2 2 km 1 4 mi gumuling well 2 3 km 1 4 mi kampoeng cyber 2 3 km 1 4 mi sasono hinggil 2 3 km 1 5 mi taman pintar science park 2 4 km 1 5 mi malioboro street 2 5 km 1 5 mi sonobudoyo museum 2 5 km 1 6 mi senopati 2 7 km 1 6 mi palace yogyakarta 2 7 km 1 7 mi fort vredeburg museum 2 7 km 1 7 mi gedung agung 2 7 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 12 km 7 5 mi
Ada Waktu Villa,property located near history museum antiquity pleret guesthouse feature restaurant outdoor pool coffeetea common area free breakfast local cuisine free wifi public area free self parking provided amenity include refrigerator common area free use bicycle concierge service 6 room offer free wifi desk free toiletry pamper onsite massage enjoy recreation amenity outdoor pool guesthouse feature complimentary wireless internet access concierge service television common area getting nearby attraction breeze area shuttle surcharge featured amenity include luggage storage laundry facility coffeetea common area roundtrip airport shuttle provided surcharge available request free self parking available onsite airport shuttle service available request limited hour fee apply contact property advance arrangement home one 6 air conditioned guestroom complimentary wireless internet access available keep connected convenience include desk housekeeping provided daily ada waktu villa enjoy satisfying meal restaurant complimentary local cuisine breakfast served daily 6 am 10 30 am nearby attraction history museum antiquity pleret 0 4 km 0 3 mi legi kotagede market 6 5 km 4 mi great mosque kotagede mataram 6 8 km 4 2 mi museum kekayon 7 km 4 3 mi lapangan karang kotagede 7 5 km 4 6 mi tomb king mataram kotagede 7 7 km 4 8 mi kid fun park 8 3 km 5 1 mi de mata trick eye 3d museum 8 7 km 5 4 mi lana gallery 8 7 km 5 4 mi gembira loka zoo 9 4 km 5 8 mi masjid jogokariyan 9 4 km 5 9 mi jogja expo center 9 7 km 6 mi faculty industrial technology 9 8 km 6 1 mi batik plentong 9 8 km 6 1 mi alun alun kidul 11 km 6 9 mi nearest major airport yogyakarta jog adisucipto intl 14 km 8 7 mi
Adhisthana,adhisthana hotel situated prawirotaman area laidback neighbourhood southern part yogyakarta yet lively tourist area lined restaurant bakery travel service shop minute away royal palace yogyakarta named ancient sanskrit word blessing literally site position residence translates vision create relaxed tranquil base ambience private home explore javanese heritage hotel designed using local material create home style javanese ambience decoration influenced chinese european style embrace rich cultivation javanese history today many type room available dormitory bunk bed suite room room equipped dressing table ensuite bathroom hot cold water shower 32 led tv select international channel air conditioner occupying front corner building lawas 613 welcome everyone sit breakfast lunch dinner unwind exploring city relaxing atmosphere lawas 613 serf variety indonesian international dish made local fresh ingredient kitchen use preservative msg concern health well satisfy appetite indonesian selection use special grandmother kitchen traditional recipe living room centre point hotel melting pot guest chill share story living room styled feel comfortable like home equipped reading material game keep guest entertained ask friendly staff d introduce interesting traditional game
Adikarta Guesthouse Janti,property located near gembira loka zoo guesthouse feature wifi public area free self parking 4 room provide kitchenette stovetops plus wifi lcd tv cable channel amenity available guest include electric kettle free bottled water ceiling fan view terrace use amenity wireless internet access surcharge free self parking available onsite front desk property arrangement check contact property least 48 hour arrival using information booking confirmation home one 4 air conditioned room featuring kitchenette lcd television cable programming provide entertainment wireless internet access surcharge keep connected convenience include desk electric kettle housekeeping provided daily nearby attraction jogja expo center 0 8 km 0 5 mi plaza ambarrukmo 1 8 km 1 1 mi gembira loka zoo 2 km 1 3 mi museum dirgantara 2 1 km 1 3 mi affandi museum 2 1 km 1 3 mi sunan kalijaga state islamic university yogyakarta 2 3 km 1 4 mi lippo plaza jogja 2 7 km 1 7 mi transmart studio mini 2 7 km 1 7 mi museum kekayon 2 9 km 1 8 mi siloam hospital yogyakarta 2 9 km 1 8 mi sasana among rogo 3 km 1 9 mi faculty industrial technology 3 3 km 2 1 mi batik museum 3 9 km 2 4 mi kota gede 3 9 km 2 4 mi galeria mall 4 km 2 5 mi nearest airport yogyakarta jog adisucipto intl 5 km 3 1 mi surakarta soc adisumarmo intl 57 1 km 35 5 mi
Adikarta Guesthouse Seturan,property located near hartono mall coffee shopcaf tourticket assistance free wifi public area available guesthouse 8 room offer free wifi safe shower view terrace use amenity complimentary wireless internet access tourticket assistance home one 8 air conditioned guestroom complimentary wireless internet access available keep connected bathroom shower provided satisfy appetite guesthouse coffee shopcaf nearby attraction hartono mall 2 km 1 3 iplaza ambarrukmo 2 9 km 1 8 mi maguwoharjo stadium 3 2 km 2 mi transmart studio mini 3 2 km 2 mi affandi museum 3 4 km 2 1 mi jogja bay 3 5 km 2 2 mi sunan kalijaga state islamic university yogyakarta 3 7 km 2 3 mi museum dirgantara 3 9 km 2 4 mi lippo plaza jogja 4 1 km 2 5 mi yogyakarta state university 4 2 km 2 6 mi siloam hospital yogyakarta 4 4 km 2 7 mi gadjah mada university 4 8 km 3 mi jogja expo center 4 8 km 3 mi sambisari temple 5 8 km 3 6 mi galeria mall 5 9 km 3 7 mi nearest airport yogyakarta jog adisucipto intl 5 7 km 3 5 mi surakarta soc adisumarmo intl 57 8 km 35 9 mi
Adya Nalendra Boutique,featuring traditional javanese chinese design style adya nalendra boutique boast array utmost amenity fulfill guest need welcomed friendly lobby 24 hour reception service lift access facility offered air conditioned conference hotel hairdressing salon restaurant conference facility room laundry service well internet access guest arriving car leave vehicle car park amenity comprise currency exchange facility doctor call wifi public area accommodation divided category namely superior room classical javanese deluxe room classical chinese deluxe room classical deluxe room executive suite executive suite classical javanese setting room feature en suite bathroom shower bathtub hairdryer room amenity include direct dial telephone satellite tv wifi internet access minibar fridge individually regulated air conditioning unit breakfast served morning guest tasty food fresh beverage available 24 hour restaurant guest enjoy work aerobics session
Agrapana Guest House,ideally located prime touristic area depok agrapana guest house promise relaxing wonderful visit offering variety facility service hotel provides need good night sleep necessary facility including wi fi public area car park family room shared loungetv area shared kitchen hand designed comfort selected guestroom offer internet access wireless complimentary air conditioning desk television satellitecable tv ensure restful night recuperate full day sightseeing comfort room advantage hotel recreational facility including garden agrapana guest house combine warm hospitality lovely ambiance stay yogyakarta unforgettable
Agrapana Guesthouse 2,property located near gadjah mada university 10 room offer free wifi lcd tv free bottled water front desk property arrangement check contact property ahead time using information booking confirmation home one 10 air conditioned room featuring lcd television prepare meal sharedcommunal kitchen complimentary wireless internet access available keep connected bathroom shower provided nearby attraction hartono mall 2 1 km 1 3 mi yogya kembali monument 2 1 km 1 3 mi gadjah mada university 2 8 km 1 8 mi yogyakarta state university 3 3 km 2 mi jogja city mall 3 4 km 2 1 mi galeria mall 4 km 2 5 mi siloam hospital yogyakarta 4 1 km 2 5 mi malioboro street 4 1 km 2 6 mi yogyakarta monument 4 3 km 2 7 mi lippo plaza jogja 4 3 km 2 7 mi sunan kalijaga state islamic university yogyakarta 4 8 km 3 mi affandi museum 4 8 km 3 mi jogja bay 5 3 km 3 3 mi maguwoharjo stadium 5 6 km 3 5 mi plaza ambarrukmo 5 9 km 3 7 mi nearest airport yogyakarta jog adisucipto intl 8 7 km 5 4 mi surakarta soc adisumarmo intl 60 8 km 37 8 mi preferred airport agrapana guesthouse 2 yogyakarta jog adisucipto intl
